name, note, dastgah
Khnoeye madarbozorge, C C G G C S C G G S F G Ab F G G S G, -
Baroon baroone, E E E E E E D E S D E E S E E E E E E D E S D E E, mahoor
Ghoghaye setaregan, G Ab Bb Ab S Bb C S Ab G S G Ab Bb Ab S Bb C S Ab G S, shoor
Simin bari, D S Bb Bb Bb A A G G F F A S D Bb Bb Bb A A G G F F A, shoor
Chahrpare, G C C C C C B C B C D, mahoor
Jane Maryam, G A Bb C D D E D D D E D, shoor
Saboohi, G C C Bb C C C Bb C C C D C Bb S, shoor
Mehri mehri, C C D E E C C D E E S C C C C G S A A A A E S E E D E C, mahoor
Nazo kereshme, C D Bb A A G A A Bb Bb C D Bb A A G A A, shoor
Saye chaman, D D D F F Eb D C D D D F F Eb D C S D C Bb C D S D C Bb G G,shoor
Kuchalara, F E D E F F D E F E D E F F D E S, -
Paye lang, G G D D G G D D S D Eb D C Bb C C G G D D, -
Molla mammad jan, A B A B G G A B A A G G F, shoor
Raftam ke raftam, D D E E F G F F E E F G D D Bb Bb G F G G F F E D, homayoon
Porsoon porsoon, G G G Bb G G G Bb D A Bb A Bb A G Bb G, shoor
Morgeh sahar, G C C C C A B B C C S S G C C C C A B B C C, mahoor
Che shavad, F G G G A Bb C Bb D Bb Bb Bb A Bb S, shoor
Daye daye, C E G G G F G F G F G E C E G G G F G F G F G E D E F, mahoor
Madar, C C A B B G A A F G D D F E E G F F A G, mahoor
Renge mahoor, C C B C D C B A C B S B B A B C B A G B A S, mahoor
Chahar Mezrab, B B A B G A G B B F B B A B G A G B B F, dashti
Doktarake Jolide, G Ak B C Dk E E Dk E G G G Dk F E E Dk E G Ak B C Dk E E Dk E F E Dk C E Dk, -
Delshodegan, D D E F F Ab G F F D E G F F E F C D D C F F F F D E F S F E, -
Sharang, B C D C D D C D C B C D C D C B A G A G G G F G G G F G S B B C C D C D C B B C D C D C D C D D B, -
Ghoghaye setaregan, S G Ab Bb Ab S Bb Ab S Bb G S S G Ab Bb Ab S Bb Ab S Bb G S S G Ab Bb C S Eb D C Bb Ab G S S S G Ab Bb Ab S Bb C S Ab G S, -
Navaee, D S E S F S G S E S D S E S C S C S D S E S G S C S E S D S G S D S D E F S G S E S D S E S C S C S C D E S G S C S E S E S G S, -
Chahar Mezrab, C C C C C C G A B C C C C C C E D B C C C C C C C D C B C C B C B A C C A Bb A G C C E F G A C C F C C G C C E C C C D E F C C, mahoor 
Daramad, C B G S S B A G F F C B A S S B A G F F A G F E F G F E D E F E D C E D G G G F E D E F E D C D E D C B D C S S, mahoor
Kereshme, Ak G Ak G Ak Bb A G G G F G F G Ak G F F Ak G Ak G Ak Bb A G G G F G F G Ak G F F C Bb Bk Bb Ak A G Ak Bb S Bb C, -
Daramad, C D D D Eb D C D S Bb C D D C C Bb Bb Ak Ak Bb F Eb D Eb S Eb D C Dk S Dk C D Bb C D D C C Bb Bb Ak Ak Bb S, dashti
Zarde Malije, B C D D D F B C D D D F D C C C D D C C C D D C C C D B C B D D C C C D, -
Tasnif, S C G G F G F Eb D C F D F D F Eb D C D S C G G F G F Eb D C F D F D F Eb D C D S Eb D Eb D Eb F Eb D C Bb C D D C Eb G Bb, dashti
Gham Angiz, C D D D S Dk C Bb C S D C C Bb C B Ak G Bb Ak C D D D S Dk C Bb C C S, -
Oshagh, F Eb F G G Ak G F Eb F G F Eb D Eb F Eb D C S, -
Chupani, Bb C D C Eb D C S D C Eb D C S Bb, -
Bidegani, Bb C D Eb D C Bb C S Bb C D Eb D C Bb C C F Eb F D S, -
Dashtestani, Bb C D Eb C Eb D C D C D C D C D C Bb S, -
Deylaman, D F Eb F Eb F G F Eb F Eb D S D C Bb D D G, -
Hajiani, C D D Eb D C Bb C D F Eb D D G S, -
Dar Ghafas, D D D C C C Bb Bb Bb G G G D C Bb G Bb D F D D D D C C C Bb Bb Bb G G G Bb G Bb D C Bb G Bb G S, -
Masnavi, C F F Eb D Eb C S G F Eb D Eb Bb Eb D C C F Eb F D Eb C G F Eb D Eb Bb D D C, -
